agent_id,count_last,best_reward,reward_last_average,solved_on,reward_target,gravity,masscart,masspole,force_mag
c77a577a-6387-4125-b0da-5a8ec1de7c5a,20,500.0,150.85,20000,200.0,13.72,1.0,0.1,14.0
13565eba-841c-4ce0-8d55-6b8fe8fb8650,20,500.0,201.05,631,200.0,13.72,1.0,0.1,16.0
938abaa9-a8e6-4ada-b4c4-02328b9bbd31,20,500.0,201.75,772,200.0,13.72,1.0,0.07,10.0
ca8d9d44-af39-44bf-9e71-50c93d8fd388,20,500.0,114.75,20000,200.0,13.72,1.0,0.07,8.0
3eca654c-6ec4-4b1b-8811-0006ad2b4191,20,500.0,142.0,20000,200.0,13.72,1.0,0.07,12.0
cde03479-1fcc-41ab-8d04-987f9a11d336,20,500.0,122.95,20000,200.0,13.72,1.0,0.07,6.0
3421d21b-bf7b-4782-ac54-885390651d4f,20,274.0,137.95,20000,200.0,13.72,1.0,0.07,14.0
da484881-c8fd-4c4c-8b5c-6749423bb746,20,235.0,125.15,20000,200.0,13.72,1.0,0.07,16.0
968fb57c-054b-4c12-b61c-17162b5ea977,20,500.0,82.45,20000,200.0,13.72,1.0,0.15000000000000002,10.0
f3b6e420-32ba-43a8-af85-c1c5fa79ebb1,20,500.0,108.7,20000,200.0,13.72,1.0,0.15000000000000002,8.0
6a26b106-554c-4914-9474-e562bd1fabac,20,500.0,133.0,20000,200.0,13.72,1.0,0.15000000000000002,12.0
b8566067-9266-4665-b96c-bb1dd54551de,20,500.0,202.3,7180,200.0,13.72,1.0,0.15000000000000002,6.0
0158b5ca-eff0-4c27-a6fc-4dea193c6211,20,500.0,207.0,759,200.0,13.72,1.0,0.15000000000000002,14.0
bb1269d8-fee8-43b0-ac9e-42684ac89848,20,500.0,208.3,738,200.0,13.72,1.0,0.15000000000000002,16.0
0167fb6a-b7cd-4969-a82c-1da9c4b5d470,20,500.0,204.7,1305,200.0,13.72,1.0,0.2,10.0
db83a16d-6961-4e9f-a714-4020b7298e59,20,500.0,115.1,20000,200.0,13.72,1.0,0.2,8.0
2b210dc4-c19d-4b6d-9fd6-66cdbd75f319,20,500.0,134.0,20000,200.0,13.72,1.0,0.2,12.0
16a87a1e-eb17-4e35-9929-28588a200983,20,500.0,146.4,20000,200.0,13.72,1.0,0.2,6.0
f4b3bace-4634-44a3-bfa0-75580b0a0b60,20,500.0,131.05,20000,200.0,13.72,1.0,0.2,14.0
cbbba6d3-13fe-443d-a755-ab88003ee733,20,500.0,138.9,20000,200.0,13.72,1.0,0.2,16.0
f7aa792d-b29d-44bb-99d9-7d8378ca1c29,20,500.0,89.75,20000,200.0,17.64,1.0,0.1,10.0
e2a2e75e-f460-4562-ac1c-a6b7e0633212,20,500.0,96.45,20000,200.0,17.64,1.0,0.1,8.0
3417ac0e-58f2-4ba9-9efb-dabd8b369c1b,20,500.0,121.4,20000,200.0,17.64,1.0,0.1,12.0
e9263d56-8c4f-498f-8d3b-ea312028150d,20,261.0,81.75,20000,200.0,17.64,1.0,0.1,6.0
2d4e0edb-a763-42ee-8d0f-982260aeca58,20,483.0,203.4,510,200.0,17.64,1.0,0.1,14.0
f7e214e7-b286-46d9-bb4d-f3aea16d3bbc,20,500.0,101.05,20000,200.0,17.64,1.0,0.1,16.0
eeff242d-f779-42e0-8b9a-76240d1cd3cc,20,445.0,89.5,20000,200.0,17.64,1.0,0.07,10.0
81cef552-0095-4104-b34c-44798c53e250,20,243.0,77.15,20000,200.0,17.64,1.0,0.07,8.0
97ef7bfd-f067-4ce4-9967-fe4be62f6444,20,500.0,105.0,20000,200.0,17.64,1.0,0.07,12.0
5875e679-df7f-451d-9865-8f2dd664891e,20,500.0,200.1,701,200.0,17.64,1.0,0.07,6.0
6c9984f4-b73e-47db-b319-bd224ed40f5d,20,500.0,200.3,761,200.0,17.64,1.0,0.07,14.0
d7a298f3-0ba5-4468-92bc-13c73a82ddf2,20,500.0,92.8,20000,200.0,17.64,1.0,0.07,16.0
48cd1302-817e-4221-810f-beb17bb52461,20,500.0,111.0,20000,200.0,17.64,1.0,0.15000000000000002,10.0
0b0f2b7c-2f1f-47da-9c8f-134dcb744ae0,20,491.0,216.65,609,200.0,17.64,1.0,0.15000000000000002,8.0
9b5a0e06-99cf-47d0-9b58-812c504f2968,20,500.0,110.5,20000,200.0,17.64,1.0,0.15000000000000002,12.0
844ef933-6650-4ebb-9f0d-2c720bd5b634,20,500.0,200.55,678,200.0,17.64,1.0,0.15000000000000002,6.0
9361ae59-215c-413d-804a-8a3a43f66f4b,20,500.0,135.4,20000,200.0,17.64,1.0,0.15000000000000002,14.0
2f8fd684-c8f3-492f-a207-1d671669004b,20,500.0,88.5,20000,200.0,17.64,1.0,0.15000000000000002,16.0
a78212b8-e31e-4c2b-bdba-33f31d4fa6fc,20,500.0,113.6,20000,200.0,17.64,1.0,0.2,10.0
6982ef77-2adb-400e-bc96-0d5c309d7a9e,20,500.0,203.8,701,200.0,17.64,1.0,0.2,8.0
a844cc39-5269-43c0-8e5c-a0d35caf93a3,20,500.0,82.35,20000,200.0,17.64,1.0,0.2,12.0
b502fdd4-9f85-4c56-8b4f-fd5f9e16a8da,20,500.0,209.25,1451,200.0,17.64,1.0,0.2,6.0
efd90f12-69c4-4102-bc3f-5d46317f164a,20,500.0,109.95,20000,200.0,17.64,1.0,0.2,14.0
